image;height;width;type;original_dataset;scenario;airport;runway;time_to_landing;weather;night;time;slant_distance;along_track_distance;height_above_runway;lateral_path_angle;vertical_path_angle;yaw;pitch;roll;watermark_height;x_A;y_A;x_B;y_B;x_C;y_C;x_D;y_D;bbox_area;bbox_area_ratio;approach;label;split
LARD_train_BIRK_LFST/images/BIRK_13_500_000.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/05/2020 13:11;4.14;4.13;1499.7;-0.07;3.29;124.34258349972198;85.79225539753327;-0.419600128585858;300.0;723;1238;740;1238;721;1265;741;1265;540;8.330371423493869e-05;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_001.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/06/2020 15:01;4.13;4.11;1464.87;-2.24;3.23;113.58047049948782;84.91882194533025;-2.4346419635864627;300.0;1538;1198;1555;1199;1560;1226;1580;1226;1176;0.0001814169776671998;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_002.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/06/2020 12:03;4.11;4.1;1543.81;-1.96;3.41;117.35809956141512;83.34787735409033;5.072404889937648;300.0;1284;1094;1267;1096;1309;1120;1289;1122;1176;0.0001814169776671998;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_003.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/08/2020 11:12;4.09;4.09;1367.54;-0.38;3.03;116.1218939159638;85.22279474099246;-5.827506365617805;300.0;1260;1195;1276;1197;1260;1220;1280;1222;540;8.330371423493869e-05;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_004.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/08/2020 10:09;4.06;4.05;1428.07;-0.3;3.19;115.69195096628046;85.3334287150538;-1.0593661914776906;300.0;1268;1208;1285;1208;1269;1234;1289;1234;546;8.422931105977133e-05;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_005.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/08/2020 16:16;4.03;4.02;1384.8;-1.72;3.12;119.57932799870758;83.4369410683158;-5.885085509531811;300.0;1163;1082;1180;1084;1178;1110;1198;1112;1050;0.00016197944434571412;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_006.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/05/2020 14:26;4.03;4.02;1430.42;-1.55;3.22;116.85957464279844;85.98928618304835;0.5301342286160927;300.0;1304;1246;1287;1247;1303;1273;1323;1273;972;0.00014994668562288963;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_007.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/08/2020 16:16;4.03;4.02;1613.9;0.5;3.63;110.02766193503945;89.98408999706697;-1.0806041844088283;300.0;1542;1514;1559;1514;1534;1544;1555;1544;750;0.0001156996031040815;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_008.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/08/2020 16:01;4.02;4.01;1571.94;-0.44;3.55;123.05095907394588;85.29102986772186;3.132737563262281;300.0;851;1245;833;1246;859;1274;839;1275;780;0.00012032758722824478;BIRK 13;0;train
LARD_train_BIRK_LFST/images/BIRK_13_500_009.jpeg;2648;2448;earth_studio;LARD_train_BIRK_LFST;BIRK_13_500;BIRK;13;;;;01/06/2020 16:31;4.01;4.0;1599.1;-2.13;3.62;119.53307030952551;84.83831606940204;2.3869102742463704;300.0;1183;1201;1166;1202;1210;1230;1190;1231;1320;0.00020363130146318345;BIRK 13;0;train
